Algorithm,Architecture,Accumulations,Micro-Batch Size,Images/Second
pytorch_linear,resnet101,8,32,1289.2251455115847
pytorch_linear,resnet101,8,32,1289.7423324272952
pytorch_linear,resnet101,8,32,1289.8898079536752
pytorch_linear,resnet152,1,32,918.225411044862
pytorch_linear,resnet152,1,32,914.4404634764009
pytorch_linear,resnet152,1,32,911.6722831303214
pytorch_linear,resnet152,1,32,909.261239810418
pytorch_linear,resnet152,1,32,897.320159709366
pytorch_linear,resnet152,1,32,888.2229021959603
pytorch_linear,resnet152,1,32,891.3094011191345
pytorch_linear,resnet152,1,32,904.2405869868148
pytorch_linear,resnet152,1,32,896.1014413698381
pytorch_linear,resnet152,1,32,906.1462546500078
pytorch_linear,resnet152,2,32,909.7339462606756
pytorch_linear,resnet152,2,32,908.6132178887566
pytorch_linear,resnet152,2,32,909.627617231046
pytorch_linear,resnet152,2,32,904.7105593185872
pytorch_linear,resnet152,2,32,907.873866838722
pytorch_linear,resnet152,2,32,909.5361261204384
pytorch_linear,resnet152,2,32,908.4352987563848
pytorch_linear,resnet152,2,32,908.0066099007988
pytorch_linear,resnet152,2,32,908.0714545453046
pytorch_linear,resnet152,2,32,908.1028313604309
pytorch_linear,resnet152,4,32,909.997144805773
pytorch_linear,resnet152,4,32,909.7018236465824
pytorch_linear,resnet152,4,32,908.9026754764682
pytorch_linear,resnet152,4,32,908.500035540818
pytorch_linear,resnet152,4,32,909.1115396282264
pytorch_linear,resnet152,4,32,908.8473125785748
pytorch_linear,resnet152,4,32,905.5972428560752
pytorch_linear,resnet152,4,32,908.0672543557462
pytorch_linear,resnet152,4,32,907.9484733489496
pytorch_linear,resnet152,4,32,909.0397141109996
pytorch_linear,resnet152,8,32,907.8515505495856
pytorch_linear,resnet152,8,32,910.2254298405596
pytorch_linear,resnet152,8,32,911.4505132372136
pytorch_linear,resnet152,8,32,910.2524933198364
pytorch_linear,resnet152,8,32,911.2171024191696
pytorch_linear,resnet152,8,32,911.0449244077378
pytorch_linear,resnet152,8,32,910.188417953612
pytorch_linear,resnet152,8,32,911.1672650337616
pytorch_linear,resnet152,8,32,910.3246899879408
pytorch_linear,resnet152,8,32,910.7912701807012
pytorch_linear,resnext101_32x8d,1,32,453.1577345200939
pytorch_linear,resnext101_32x8d,1,32,450.4582518624955
pytorch_linear,resnext101_32x8d,1,32,451.10208617752346
pytorch_linear,resnext101_32x8d,1,32,450.9039767032217
pytorch_linear,resnext101_32x8d,1,32,451.0528366571265
pytorch_linear,resnext101_32x8d,1,32,450.54393800036377
pytorch_linear,resnext101_32x8d,1,32,449.5474712957256
pytorch_linear,resnext101_32x8d,1,32,450.2362233466196
pytorch_linear,resnext101_32x8d,1,32,449.3543292518521
pytorch_linear,resnext101_32x8d,1,32,455.59346171865263
pytorch_linear,resnext101_32x8d,2,32,459.27853963564365
pytorch_linear,resnext101_32x8d,2,32,459.314829544556
pytorch_linear,resnext101_32x8d,2,32,458.9620223560987
pytorch_linear,resnext101_32x8d,2,32,458.6131230379132
pytorch_linear,resnext101_32x8d,2,32,458.9436672048368
pytorch_linear,resnext101_32x8d,2,32,459.3167610662877
pytorch_linear,resnext101_32x8d,2,32,459.055956627408
pytorch_linear,resnext101_32x8d,2,32,459.02826734015656
pytorch_linear,resnext101_32x8d,2,32,458.6442706865069
pytorch_linear,resnext101_32x8d,2,32,459.8126413686402
pytorch_linear,resnext101_32x8d,4,32,453.0833467739696
pytorch_linear,resnext101_32x8d,4,32,453.0450179761502
pytorch_linear,resnext101_32x8d,4,32,453.0476297225736
pytorch_linear,resnext101_32x8d,4,32,452.81652881434496
pytorch_linear,resnext101_32x8d,4,32,453.44310807066506
pytorch_linear,resnext101_32x8d,4,32,453.2138017561904
pytorch_linear,resnext101_32x8d,4,32,452.72201461652713
pytorch_linear,resnext101_32x8d,4,32,452.8176071339391
pytorch_linear,resnext101_32x8d,4,32,452.80502662963886
pytorch_linear,resnext101_32x8d,4,32,471.2032552744864
pytorch_linear,resnext101_32x8d,8,32,458.3309373277948
pytorch_linear,resnext101_32x8d,8,32,458.4878643203832
pytorch_linear,resnext101_32x8d,8,32,458.4646811027754
pytorch_linear,resnext101_32x8d,8,32,458.4337424545456
pytorch_linear,resnext101_32x8d,8,32,458.327068594576
pytorch_linear,resnext101_32x8d,8,32,458.5294358688324
pytorch_linear,resnext101_32x8d,8,32,458.2659616177771
pytorch_linear,resnext101_32x8d,8,32,458.2647079736616
pytorch_linear,resnext101_32x8d,8,32,458.3755832109037
